Ref,Val,Package,PosX,PosY,Rot,Side
"D58","LED","LED_D5.0mm",280.670000,-68.580000,180.000000,top
"D59","LED","LED_D5.0mm",280.670000,-58.420000,180.000000,top
"D60","LED","LED_D5.0mm",280.670000,-48.260000,180.000000,top
"D61","LED","LED_D5.0mm",320.040000,-139.700000,180.000000,top
"D62","LED","LED_D5.0mm",320.040000,-129.540000,180.000000,top
"D63","LED","LED_D5.0mm",320.040000,-119.380000,180.000000,top
"D64","LED","LED_D5.0mm",320.040000,-109.220000,180.000000,top
"D65","LED","LED_D5.0mm",320.040000,-99.060000,180.000000,top
"D66","LED","LED_D5.0mm",320.040000,-88.900000,180.000000,top
"D67","LED","LED_D5.0mm",320.040000,-78.740000,180.000000,top
"D68","LED","LED_D5.0mm",320.040000,-68.580000,180.000000,top
"D69","LED","LED_D5.0mm",320.040000,-58.420000,180.000000,top
"D70","LED","LED_D5.0mm",320.040000,-48.260000,180.000000,top
"D71","LED","LED_D5.0mm",335.783000,-169.164000,0.000000,top
"J1","AudioJack3","Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal",66.675000,-163.068000,90.000000,top
"J2","PJ-079BH","CUI_PJ-079BH",355.437440,-158.660008,180.000000,top
"J3","Screw_Terminal_01x02","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",68.834000,-150.622000,-90.000000,top
"JP2","Jumper_2_Open","PinHeader_2x01_P2.54mm_Vertical",71.120000,-139.700000,180.000000,top
"Q1","DMP2123LQ-7","SOT-23",340.360000,-174.752000,-90.000000,top
"R1","84.5k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",96.520000,-118.999000,0.000000,top
"R2","160k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",96.520000,-121.920000,180.000000,top
"R3","169k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",102.997000,-120.396000,-90.000000,top
"R4","90.9k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",95.631000,-125.857000,180.000000,top
"R5","37.4k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",95.631000,-138.557000,0.000000,top
"R6","402k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",100.457000,-135.255000,90.000000,top
"R7","86.6k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",102.870000,-138.557000,0.000000,top
"R8","35.7k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",106.553000,-138.557000,0.000000,top
"R9","390k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",111.760000,-130.810000,90.000000,top
"R10","110k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",136.017000,-119.380000,0.000000,top
"R11","90.9k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",143.002000,-119.634000,-90.000000,top
"R12","162k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.207000,-124.079000,0.000000,top
"R13","118k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",133.096000,-127.254000,0.000000,top
"R14","63.4k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",130.937000,-130.048000,-90.000000,top
"R15","62k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",131.826000,-133.350000,180.000000,top
"R16","309k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.827000,-135.255000,90.000000,top
"R17","68k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",142.240000,-138.557000,0.000000,top
"R18","66.5k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",145.923000,-138.557000,0.000000,top
"R19","332k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",151.130000,-130.810000,90.000000,top
"R20","137k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",175.387000,-119.380000,0.000000,top
"R21","45.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",175.387000,-121.412000,180.000000,top
"R22","270k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",182.372000,-119.634000,-90.000000,top
"R23","143k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",175.006000,-125.730000,180.000000,top
"R24","19.1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",171.450000,-133.350000,180.000000,top
"R25","590k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",179.197000,-135.255000,90.000000,top
"R26","140k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",181.610000,-138.557000,0.000000,top
"R27","18.7k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",185.293000,-138.557000,0.000000,top
"R28","576k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",190.500000,-130.810000,90.000000,top
"R29","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",214.884000,-119.380000,0.000000,top
"R30","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",221.742000,-119.634000,-90.000000,top
"R31","66.5k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",210.947000,-124.079000,0.000000,top
"R32","33.2k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",211.836000,-127.254000,0.000000,top
"R33","56k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",209.677000,-130.048000,-90.000000,top
"R34","48.7k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",210.566000,-133.350000,180.000000,top
"R35","270k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",218.694000,-135.255000,90.000000,top
"R36","66.5k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",220.980000,-138.557000,0.000000,top
"R37","57.6k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",224.663000,-138.557000,0.000000,top
"R38","324k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",229.870000,-130.810000,90.000000,top
"R39","78.7k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",254.127000,-119.380000,0.000000,top
"R40","26.7k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",254.127000,-121.412000,180.000000,top
"R41","160k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",261.112000,-119.634000,-90.000000,top
